ID,Math,Physics,Chemistry,Programming,Sports,Literature,Linguistics,History,Arts,Profile
M01,80,80,33,33,80,80,40,40,40,0
M02,80.1,80.1,33,33,80.1,40.1,40.1,40.1,40.1,0
M03,80.2,80.2,80.2,80.2,80.2,80,40.2,40.2,40.2,0
M04,80.3,80.3,80.3,80.3,33,40.3,40.3,40.3,40.3,0
M05,80.4,80.4,80.4,80.4,33,40.4,80,40.4,40.4,0
M06,80.5,80.5,80.5,80.5,33,40.5,40.5,40.5,40.5,0
M07,80.6,80.6,80.6,33,33,40.6,40.6,40.6,40.6,0
M08,80.7,33,80.7,33,80.7,40.7,40.7,40.7,40.7,0
M09,80.8,33,80.8,80.8,80.8,40.8,80,40.8,40.8,0
M10,80.9,80.9,80.9,80.9,80.9,40.9,40.9,40.9,40.9,0
M11,81,81,81,81,81,41,80,41,41,0
M12,81.1,33,81.1,33,81.1,80,41.1,41.1,41.1,0
M13,81.2,33,81.2,33,81.2,41.2,41.2,41.2,41.2,0
M14,81.3,81.3,81.3,81.3,33,80,41.3,80,41.3,0
M15,81.4,81.4,81.4,81.4,33,80,41.4,41.4,41.4,0
M16,81.5,81.5,81.5,33,81.5,41.5,80,41.5,80,0
M17,81.6,81.6,81.6,33,81.6,41.6,41.6,41.6,41.6,0
M18,33,33,81.7,81.7,81.7,80,80,41.7,80,0
M19,33,33,81.8,81.8,81.8,80,41.8,41.8,41.8,0
M20,81.9,81.9,81.9,81.9,81.9,41.9,80,41.9,41.9,0
F01,40,40,79,40,40,80,80,80,80,1
F02,40.1,40.1,79,40.1,40.1,80.1,80.1,80.1,80.1,1
F03,40.2,40.2,79,40.2,40.2,80.2,80.2,80.2,80.2,1
F04,40.3,40.3,79,40.3,40.3,80.3,40.7,80.3,40.7,1
F05,40.4,40.4,79,40.4,40.4,80.4,80.4,80.4,80.4,1
F06,40.5,40.5,79,40.5,40.5,80.5,80.5,80.5,80.5,1
F07,40.6,40.6,79,40.6,40.6,80.6,40.7,80.6,40.7,1
F08,40.7,79,40.7,40.7,40.7,80.7,80.7,80.7,80.7,1
F09,40.8,79,40.8,40.8,40.8,40.7,80.8,80.8,80.8,1
F10,40.9,79,40.9,40.9,40.9,80.9,80.9,80.9,80.9,1
F11,41,79,41,41,41,81,81,81,81,1
F12,41.1,79,41.1,41.1,41.1,81.1,40.7,81.1,81.1,1
F13,41.2,41.2,41.2,79,41.2,81.2,81.2,81.2,81.2,1
F14,41.3,41.3,41.3,79,41.3,81.3,81.3,81.3,81.3,1
F15,41.4,41.4,41.4,79,41.4,81.4,81.4,40.7,81.4,1
F16,41.5,41.5,41.5,79,41.5,81.5,81.5,81.5,81.5,1
F17,41.6,79,41.6,41.6,41.6,81.6,40.7,81.6,81.6,1
F18,41.7,79,41.7,41.7,41.7,81.7,81.7,81.7,40.7,1
F19,41.8,41.8,41.8,41.8,41.8,81.8,40.7,81.8,81.8,1
F20,41.9,41.9,41.9,41.9,41.9,81.9,81.9,81.9,81.9,1
